div_num,sch_num,sch_name
029,1970,Laurel Ridge Elementary School
029,1980,Hutchison Elementary
029,1980,Hutchison Elementary School
029,1990,South Lakes High
029,1990,South Lakes High School
029,2000,Bonnie Brae Elementary
029,2000,Bonnie Brae Elementary School
029,2010,Dranesville Elementary
029,2010,Dranesville Elementary School
029,2020,A. Scott Crossfield Elementary School
029,2020,Crossfield Elementary
029,2030,Sangster Elementary
029,2030,Sangster Elementary School
029,2040,Saratoga Elementary
029,2040,Saratoga Elementary School
029,2050,Virginia Run Elementary
029,2050,Virginia Run Elementary School
029,2060,Willow Springs Elementary
029,2060,Willow Springs Elementary School
029,2070,Ormond Stone Middle School
029,2070,Stone Middle
029,2080,Poplar Tree Elementary
029,2080,Poplar Tree Elementary School
029,2090,Centre Ridge Elementary
029,2090,Centre Ridge Elementary School
029,2100,Waples Mill Elementary
029,2100,Waples Mill Elementary School
029,2201,Bryant Alternative High
029,2201,Bryant Alternative High School
029,2202,Pimmit Hills Alternative High
029,2202,Pimmit Hills Alternative High School
029,2203,Aldrin Elementary
029,2203,Buzz Aldrin Elementary School
029,2204,Deer Park Elementary
029,2204,Deer Park Elementary School
029,2205,Centreville Elementary
029,2205,Centreville Elementary School
029,2209,Anthony T. Lane Elementary School
029,2209,Lane Elementary
029,2210,Halley Elementary
029,2210,William Halley Elementary School
029,2211,Mountain View Alternative High
029,2211,Mountain View Alternative High School
029,2211,Mountain View School
029,2222,Carson Middle
029,2222,Rachel Carson Middle School
029,2224,Fort Belvoir Elementary
029,2224,Fort Belvoir Elementary School
029,2225,Bull Run Elementary
029,2225,Bull Run Elementary School
029,2228,Westfield High
029,2228,Westfield High School
029,2229,Daniels Run Elementary
029,2229,Daniels Run Elementary School
029,2230,Providence Elementary
029,2230,Providence Elementary School
029,2231,McNair Elementary
029,2231,McNair Elementary School
029,2231,Mcnair Elementary
029,2233,Liberty Middle
029,2233,Liberty Middle School
029,2234,Colvin Run Elementary
029,2234,Colvin Run Elementary School
029,2235,Island Creek Elementary
029,2235,Island Creek Elementary School
029,2236,Lorton Station Elementary
029,2236,Lorton Station Elementary School
029,2237,Colin L. Powell Elementary School
029,2237,Powell Elementary
029,2238,Devonshire E.C. Resource Ctr.
029,2238,Devonshire Preschool
029,2239,Lorton Preschool
029,2241,South County Secondary
029,2241,South County Secondary School
